개설대학,개설학과,교과목번호,강좌번호,교과목명,부제명,수업교시,"강의실(동-호)(#연건, *평창)",수강신청인원
간호대학,간호학과,811.218,1,병태생리학, ,화(10:00~11:50)/수(10:00~11:50),#012-102/#012-102,79
간호대학,간호학과,811.220,1,병원미생물학, ,화(13:00~14:50),#012-102,78
간호대학,간호학과,811.221,1,약물기전과 효과, ,화(16:00~17:50),#012-102,79
간호대학,간호학과,811.322,1,재활간호학및실습, ,화(10:00~11:50),#012-103,52
간호대학,간호학과,811.323,1,간호정보학및실습, ,월(15:00~16:50),#012-103,52
간호대학,간호학과,811.326,1,성인건강간호학 2, ,월(09:00~11:50),#012-103,55
간호대학,간호학과,811.330,1,정신건강간호학 1, ,화(13:00~14:50),#012-103,54
간호대학,간호학과,811.331,1,노인건강간호학및실습, ,월(13:00~14:50),#012-103,53
간호대학,간호학과,811.403,1,간호연구개론, ,화(15:00~16:50),#012-103,54
간호대학,간호학과,811.416,1,간호특론, ,화(09:00~10:50),083-604,68
간호대학,간호학과,811.422,1,간호윤리세미나, ,목(12:00~12:50),083-404,70
자연과학대학,수리과학부,881.003,1,미분방정식, ,월(09:30~10:45)/수(09:30~10:45),025-110/025-110,39
자연과학대학,수리과학부,881.003,4,미분방정식, ,화(12:30~13:45)/목(12:30~13:45),025-110/025-110,41
자연과학대학,수리과학부,881.007,2,선형대수학, ,월(14:00~15:15)/수(14:00~15:15),024-207/024-207,50
자연과학대학,수리과학부,881.007,3,선형대수학, ,화(15:30~16:45)/목(15:30~16:45),025-104/025-104,33
자연과학대학,수리과학부,881.007,4,선형대수학, ,화(14:00~15:15)/목(14:00~15:15),024-209/024-209,41
자연과학대학,수리과학부,881.007,5,선형대수학, ,화(15:30~16:45)/목(15:30~16:45),025-101/025-101,32
자연과학대학,수리과학부,881.008,1,해석개론, ,화(09:30~10:45)/목(09:30~10:45),024-211/024-211,39
자연과학대학,수리과학부,881.302,1,현대대수학 2, ,화(15:30~16:45)/목(15:30~16:45),500-L306/500-L306,50
치의학대학원,치의학과,883.016,2,기초의학통계학 및 실험, ,금(13:30~15:20)/금(15:30~17:20),043-1-102/043-1-102,58
자연과학대학,물리·천문학부,884.302,1,열과 통계물리, ,화(14:00~15:15)/목(14:00~15:15),056-106/056-106,76
자연과학대학,물리·천문학부,884.304,1,양자물리 2, ,월(14:00~15:15)/수(14:00~15:15),056-106/056-106,67
자연과학대학,물리·천문학부,884.310,1,전산물리, ,금(13:00~14:50),056-105,44
자유전공학부, ,991.202A,1,전공설계 2, ,화(17:00~18:50),220-202,18
인문대학,협동과정  비교문학전공,L0545.000100,1,동서양 명작 읽기, ,화(11:00~12:15)/목(11:00~12:15),007-102/007-102,33
인문대학,영어영문학과,L0545.000300,1,영어 대중소설 읽기, ,월(15:30~16:45)/수(15:30~16:45),014-204/014-204,32
인문대학,영어영문학과,L0545.000300,2,영어 대중소설 읽기, ,화(12:30~13:45)/목(12:30~13:45),007-214/007-214,30
인문대학,국어국문학과,L0545.000600,1,한국문학과 여행, ,월(15:30~16:45)/수(15:30~16:45),001-103/001-103,50
인문대학,미학과,L0546.000200,1,예술의 가치와 비평, ,금(12:00~14:50),008-301,43
인문대학,미학과,L0546.000500,1,공연예술의 이해, ,금(10:00~12:50),007-102,64
인문대학,미학과,L0546.000500,2,공연예술의 이해, ,금(13:00~15:50),007-102,31
인문대학,미학과,L0546.000500,3,공연예술의 이해, ,화(09:30~10:45)/목(09:30~10:45),007-102/007-102,62
인문대학,미학과,L0546.000500,4,공연예술의 이해, ,화(12:30~13:45)/목(12:30~13:45),043-1-401/043-1-401,89
인문대학,미학과,L0546.000500,5,공연예술의 이해, ,월(11:00~12:15)/수(11:00~12:15),028-103/028-103,67
인문대학,미학과,L0546.000500,6,공연예술의 이해, ,월(12:30~13:45)/수(12:30~13:45),043-1-101/043-1-101,78
인문대학,미학과,L0546.000600,1,미술론입문, ,금(15:00~17:50),007-106,79
인문대학,미학과,L0546.000700,1,대중예술의 이해, ,금(15:00~17:50),001-103,51
인문대학,미학과,L0546.000700,2,대중예술의 이해, ,월(15:30~18:20),043-1-301,85
인문대학,미학과,L0546.000700,3,대중예술의 이해, ,목(10:00~12:50),008-101,61
인문대학,미학과,L0546.000700,4,대중예술의 이해, ,금(10:00~12:50),001-103,31
인문대학,미학과,L0546.000700,5,대중예술의 이해, ,화(15:00~17:50),083-604,32
인문대학,미학과,L0546.000700,6,대중예술의 이해, ,화(15:30~18:20),043-1-101,56
인문대학,미학과,L0546.000800,1,영상예술의 이해, ,화(15:30~18:20),008-B101,33
인문대학,미학과,L0546.000800,2,영상예술의 이해, ,수(15:30~18:20),006-103,30
인문대학,미학과,L0546.000800,3,영상예술의 이해, ,목(15:30~18:20),043-1-402,89
인문대학,미학과,L0546.000800,4,영상예술의 이해, ,금(10:00~12:50),220-203,32
인문대학,미학과,L0546.000800,5,영상예술의 이해, ,목(14:00~16:50),083-305,81
인문대학,철학과,L0547.000100,1,도덕적 추론, ,월(11:00~12:15)/수(11:00~12:15),006-103/006-103,35
인문대학,철학과,L0547.000600,1,법과 가치, ,화(15:30~16:45)/목(15:30~16:45),006-103/006-103,30
인문대학,국사학과,L0547.000900,1,한국사 속의 유학, ,화(12:30~13:45)/목(12:30~13:45),008-B101/008-B101,5
인문대학,국사학과,L0547.001000,1,동아시아의 역사분쟁, ,월(11:00~12:15)/수(11:00~12:15),007-101/007-101,37
인문대학,국사학과,L0547.001200,2,규장각과 한국문화, ,월(12:30~13:45)/수(12:30~13:45),007-202/007-202,36
인문대학,철학과,L0547.001400,1,불교철학의 이해, ,금(14:00~16:50),007-202,48
인문대학,국사학과,L0547.001500,1,조선의 역사적 성취와 유산, ,화(09:30~10:45)/목(09:30~10:45),007-106/007-106,33
인문대학,국사학과,L0547.001500,2,조선의 역사적 성취와 유산, ,월(11:00~12:15)/수(11:00~12:15),007-102/007-102,66
인문대학,국사학과,L0547.001600,1,한국 중세의 사회와 문화, ,화(12:30~13:45)/목(12:30~13:45),007-102/007-102,74
인문대학,동양사학과,L0547.002000,1,역사 속의 중화와 그 이웃, ,목(15:30~18:20),008-101,97
인문대학,동양사학과,L0547.002000,2,역사 속의 중화와 그 이웃, ,금(14:00~16:50),008-302,38
인문대학,동양사학과,L0547.002100,1,테마 중국사, ,수(14:00~16:50),014-202,29
인문대학,서양사학과,L0547.002200,1,서양사 속의 젠더, ,월(11:00~12:15)/수(11:00~12:15),014-203/014-203,24
인문대학,서양사학과,L0547.002300,1,기독교와 서양문명, ,금(10:00~12:50),007-101,62
인문대학,종교학과,L0547.002400,1,종교학의 이해, ,화(11:00~12:15)/목(11:00~12:15),007-101/007-101,57
자연과학대학,지구환경과학부,L0550.000200,1,자연재해의 관측과 이해, ,월(14:00~16:50),024-210,45
자연과학대학,지구환경과학부,L0551.000300,1,바다과학기행, ,화(12:30~13:45)/목(12:30~13:45),028-101/028-101,111
인문대학,국어국문학과,M1232.000200,1,세계 속의 한국문학, ,화(11:00~12:15)/목(11:00~12:15),001-209/001-209,30
자연과학대학,수리과학부,M1407.000700,1,해석개론 및 연습 2, ,월(11:00~12:15)/월(17:00~18:50)/수(11:00~12:15),024-211/025-105/024-211,37
공과대학,건축학과,M1498.001500,1,철골구조설계 및 공법, ,월(14:00~15:15)/수(14:00~15:15),039-B115/039-B115,29
공과대학,건축학과,M1498.014000,1,건축시공 및 건설관리 입문, ,화(14:00~16:50),039-B113,59
공과대학,원자핵공학과,M1509.000200,1,핵공학 현대물리, ,월(14:00~15:15)/수(14:00~15:15),032-106/032-106,47
공과대학,원자핵공학과,M1509.000500,1,원자핵공학 학사논문연구 1, ,월(11:00~12:50),032-109,26
공과대학,컴퓨터공학부,M1522.000200,1,창의적통합설계1, ,금(13:00~18:50),302-208,79
공과대학,컴퓨터공학부,M1522.000600,1,컴퓨터프로그래밍, ,화(14:00~15:15)/목(14:00~15:15)/금(14:00~15:50),302-208/302-208/302-311-1,77
공과대학,컴퓨터공학부,M1522.000800,1,시스템프로그래밍, ,월(17:00~18:15)/월(18:30~20:20)/수(17:00~18:15),302-208/302-311-1/302-208,76
공과대학,컴퓨터공학부,M1522.002300,1,인터넷 보안, ,화(15:30~16:45)/목(15:30~16:45),301-101/301-101,42
농업생명과학대학,농생명공학부,M1718.000700,1,식품고분자 분석학, ,금(09:00~11:50),200-8112,30
간호대학,간호학과,M1991.000500,1,가족건강간호학, ,목(09:00~11:50),083-404,70
치의학대학원,치의학과,M2043.000500,1,인문학과 치의학리더십, ,화(13:00~14:15)/목(13:00~14:15),043-1-102/043-1-102,28
약학대학, ,M2175.000500,1,약전 및 의약품 품질과학, ,목(13:00~14:50),143-102,34
약학대학, ,M2175.000500,2,약전 및 의약품 품질과학, ,목(13:00~14:50),142-501,40
약학대학, ,M2175.000600,1,의약품 제조관리 및 규제과학, ,수(13:00~14:50),021-112,35
약학대학, ,M2175.000600,2,의약품 제조관리 및 규제과학, ,수(13:00~14:50),142-501,39
약학대학, ,M2175.000700,1,약사윤리, ,화(13:00~14:50),143-102,39
약학대학, ,M2175.001300,1,약학실습 5, ,목(16:00~19:50),021-110,40
약학대학, ,M2175.001300,2,약학실습 5, ,목(16:00~19:50),029-101,30
약학대학, ,M2175.001400,1,약학실습 6, ,월(14:00~16:50)/월(13:00~13:50),021-423/021-424,40
약학대학, ,M2175.001400,2,약학실습 6, ,월(13:00~16:50),029-101,30
공과대학,전기·정보공학부,M2177.004300,1,딥러닝의 기초, ,월(14:00~15:15)/수(14:00~15:15),301-202/301-202,59
공과대학, ,M2177.004900,1,IoT·인공지능·빅데이터 개론 및 실습, ,금(14:00~15:50)/금(16:00~17:50)/금(16:00~17:50),044-1-206/044-1-206/044-1-207,59
수의과대학,수의학과,M2180.001200,1,수의 응급의학, ,화(19:00~19:50),085-208,30
간호대학,간호학과,M2186.000300,1,간호학입문, ,월(15:00~16:50),083-404,71
치의학대학원,치의학과,M2189.000300,1,과학적 사고의 이해, ,월(16:00~17:15)/수(16:00~17:15),043-1-102/043-1-102,35
치의학대학원,치의학과,M2189.000500,1,치의학입문, ,금(09:00~11:50),#021-101,44
치의학대학원,치의학과,M2189.001000,1,자기설계성과보고, ,토(15:00~16:50),043-1-102,44
의과대학,의예과,M2605.000400,1,의대생을 위한 고전읽기, ,수(13:00~15:50),024-214,52
의과대학,의예과,M2605.000800,1,통일의료, ,수(10:00~11:50),024-214,45
의과대학,의예과,M2605.001100,1,의학 전문용어의 길잡이: 원어 어근부터 우리말 용어 제작까지, ,금(10:00~11:50),024-214,59
의과대학,의예과,M2605.001200,1,자유주제탐구, ,수(16:00~18:50),024-214,47
의과대학,의예과,M2605.001300,1,몸 속으로의 여행: 인체와 수술, ,월(10:00~11:50),024-214,43
공과대학,전기·정보공학부,M2608.001200,1,데이터통신망의 기초, ,화(09:30~10:45)/목(09:30~10:45),302-105/302-105,80
공과대학,기계항공공학부,M2794.001200,1,동역학, ,월(11:00~12:15)/수(11:00~12:15),301-105/301-105,114
공과대학,기계항공공학부,M2794.001200,2,동역학, ,월(11:00~12:15)/수(11:00~12:15),301-204/301-204,43
공과대학,기계항공공학부,M2794.001300,1,유체역학, ,화(11:00~12:15)/목(11:00~12:15),301-105/301-105,83
공과대학,기계항공공학부,M2794.001300,2,유체역학, ,화(11:00~12:15)/목(11:00~12:15),301-118/301-118,119
공과대학,기계항공공학부,M2794.001400,1,역학과 설계, ,화(14:00~15:15)/목(14:00~15:15),301-118/301-118,68
공과대학,기계항공공학부,M2794.001700,1,기계제품설계, ,월(14:00~15:15)/수(14:00~15:15),301-305/301-305,31
공과대학,기계항공공학부,M2794.001800,1,재료와 제조공정, ,화(09:30~10:45)/목(09:30~10:45),301-105/301-105,70
공과대학,기계항공공학부,M2794.001800,2,재료와 제조공정, ,화(09:30~10:45)/목(09:30~10:45),301-204/301-204,89
공과대학,기계항공공학부,M2794.001900,1,기계진동학, ,월(15:30~16:45)/수(15:30~16:45),301-204/301-204,29
공과대학,기계항공공학부,M2794.003100,1,메카트로닉스개론 및 실습, ,월(16:00~17:50)/수(16:00~17:50),301-105/301-105,40
공과대학,기계항공공학부,M2794.004600,1,기계산업경영 2, ,수(16:00~17:50),301-118,291
공과대학,기계항공공학부,M2795.001800,1,항공역학, ,화(11:00~12:15)/목(11:00~12:15),301-303/301-303,28
공과대학,기계항공공학부,M2795.002100,1,운동체역학, ,화(15:30~16:45)/목(15:30~16:45),301-303/301-303,23
공과대학,기계항공공학부,M2795.002200,1,우주항공공학입문, ,월(09:30~10:45)/수(09:30~10:45),301-304/301-304,57
공과대학,기계항공공학부,M2795.002500,1,제트추진, ,화(14:00~15:15)/목(14:00~15:15),301-306/301-306,34
공과대학,기계항공공학부,M2795.003300,1,우주항공 센서시스템, ,월(14:00~15:15)/수(14:00~15:15),301-306/301-306,28
치의학대학원,치의학과,M2839.000700,1,치의학과 공학 신기술의 만남, ,금(13:00~14:50),#021-101,44
인문대학,철학과,M2908.000200,1,시장과 윤리, ,금(13:00~15:50),014-204,33
인문대학,언어학과,M2911.000200,1,인문데이터 수량분석, ,화(11:00~12:15)/목(11:00~12:15),014-602/014-602,31
