개설대학,개설학과,교과목번호,강좌번호,교과목명,부제명,수업교시,"강의실(동-호)(#연건, *평창)",수강신청인원
약학대학, ,370.1201,2,의약품합성화학 1, ,화(09:00~11:50),142-510,39
약학대학, ,370.1202,1,생약학 1, ,목(13:00~15:50),143-101,42
약학대학, ,370.1202,2,생약학 1, ,목(13:00~15:50),142-510,41
약학대학, ,370.1205,1,생약학 2, ,월(10:00~11:50),143-101,34
약학대학, ,370.1205,2,생약학 2, ,월(10:00~11:50),142-510,39
약학대학, ,370.1206,1,의약품합성화학 2, ,수(10:00~11:50),143-101,32
약학대학, ,370.1206,2,의약품합성화학 2, ,수(10:00~11:50),142-510,38
약학대학, ,370.2105,1,약물학 1, ,화(09:00~11:50),143-102,39
약학대학, ,370.2105,2,약물학 1, ,화(09:00~11:50),021-112,39
약학대학, ,370.2106,1,약물학 2, ,수(15:00~17:50),143-101,37
약학대학, ,370.2106,2,약물학 2, ,수(15:00~17:50),021-401,40
약학대학, ,370.2111,1,약학실습 3, ,수(16:00~19:50),021-423,30
약학대학, ,370.2111,2,약학실습 3, ,수(16:00~19:50),021-110,39
약학대학, ,370.2113A,1,임상약학개론, ,금(13:00~14:50),#017--108,37
약학대학, ,370.2113A,2,임상약학개론, ,토(09:00~10:50),#017-103,35
약학대학, ,370.2114A,1,약료학 및 실습, ,금(09:00~09:50)/금(10:00~11:50),#017--108/#017--108,36
약학대학, ,370.2114A,2,약료학 및 실습, ,금(15:00~15:50)/금(16:00~17:50),#017--108/#017--108,36
약학대학, ,370.2115,1,의약화학 1, ,목(10:00~11:50),143-102,39
약학대학, ,370.2115,2,의약화학 1, ,목(10:00~11:50),021-424,39
약학대학, ,370.2118,1,약사위생법규, ,수(10:00~11:50),143-102,38
약학대학, ,370.2118,2,약사위생법규, ,수(18:00~19:50),143-101,39
약학대학, ,370.3103,1,약물치료학 3, ,화(09:00~11:50)/화(13:00~13:50),#017--108/#017--108,34
약학대학, ,370.3103,2,약물치료학 3, ,토(09:00~11:50)/토(13:00~13:50),#017--108/#017--108,37
약학대학, ,370.3104,1,약물치료학 4, ,수(09:00~11:50)/수(13:00~13:50),#017--108/#017--108,34
약학대학, ,370.3104,2,약물치료학 4, ,토(14:00~17:50),#017--108,37
약학대학, ,370.3110,1,약물치료학실습 2, ,화(14:00~15:50),#017--108,37
약학대학, ,370.3110,2,약물치료학실습 2, ,수(14:00~15:50),#017--108,34
약학대학, ,375.686,1,기기분석 2, ,월(16:00~18:50),021-112,56
공과대학,기계항공공학부,400.003,1,공학수학 3, ,화(09:30~10:45)/목(09:30~10:45),301-305/301-305,50
공과대학,산업공학과,400.015,1,산업공학개론, ,월(11:00~12:15)/수(11:00~12:15),043-1-402/043-1-402,91
공과대학,산업공학과,400.015,2,산업공학개론, ,화(09:30~10:45)/목(09:30~10:45),043-1-401/043-1-401,106
공과대학,전기·정보공학부,400.018,1,창의공학설계, ,월(16:00~17:50)/수(16:00~17:50),301-202/301-310,75
공과대학,전기·정보공학부,400.018,2,창의공학설계, ,화(16:00~17:50)/목(16:00~17:50),301-201/301-310,77
공과대학,전기·정보공학부,400.019A,1,전기.정보공학개론, ,월(09:30~10:45)/수(09:30~10:45),301-201/301-201,57
공과대학,재료공학부,400.020,1,재료공학개론, ,월(11:00~12:15)/수(11:00~12:15),033-228/033-228,32
공과대학,건설환경공학부,400.022,1,건설환경공학개론, ,월(11:00~12:15)/수(11:00~12:15),035-223/035-223,61
공과대학,화학생물공학부,400.023,1,화학생물공학개론, ,월(11:00~12:15)/수(11:00~12:15),302-509/302-509,92
공과대학,에너지자원공학과,400.024,1,에너지자원공학개론, ,화(14:00~16:50),038-316,37
공과대학, ,400.310,1,공학기술과사회, ,목(15:00~17:50),038-422,43
공과대학,화학생물공학부,400.312,1,공학기술과경영, ,금(14:00~16:45),302-519,32
공과대학, ,400.316,1,공학경제, ,수(15:00~17:50),038-428,28
공과대학,건축학과,4012.104A,1,건축의장, ,목(10:00~12:50),039-B113,32
공과대학,건축학과,4012.303,1,건축사 2, ,수(14:00~16:50),039-B113,60
공과대학,건축학과,4012.411,1,건축설비계획, ,월(11:00~12:15)/수(11:00~12:15),039-B117/039-B117,32
공과대학,건축학과,4012.504,1,건축실무, ,월(15:00~17:50),039-B117,34
공과대학,건축학과,4013.204,1,건축구조시스템, ,수(16:00~18:50),038-B105,62
공과대학,건축학과,4013.206A,1,건축재료역학 1, ,화(09:30~10:45)/목(09:30~10:45),038-422/038-422,62
공과대학,산업공학과,406.304,1,인간공학, ,화(09:30~10:45)/목(09:30~10:45),043-1-302/043-1-302,39
공과대학,산업공학과,406.310,1,생산관리, ,화(17:00~18:15)/목(17:00~18:15),039-B118/039-B118,45
공과대학,산업공학과,406.314,1,경제성공학, ,월(11:00~12:15)/수(11:00~12:15),039-B119/039-B119,32
공과대학,산업공학과,406.315,1,경영과학 1, ,화(11:00~12:15)/목(11:00~12:15),039-B119/039-B119,56
공과대학,산업공학과,406.322,1,서비스공학, ,월(14:00~15:15)/수(14:00~15:15),039-B118/039-B118,33
공과대학,산업공학과,406.426B,1,데이터관리와 분석, ,화(14:00~15:15)/목(14:00~15:15),039-B119/039-B119,53
공과대학,산업공학과,406.433,1,금융공학개론, ,월(15:30~16:45)/수(15:30~16:45),039-B118/039-B118,45
공과대학,산업공학과,406.434,1,산업공학의 이해, ,월(17:00~18:15)/수(17:00~18:15),039-B118/039-B118,49
공과대학,원자핵공학과,409.101A,1,원자핵공학의 미래, ,목(16:00~16:50),032-106,31
공과대학,원자핵공학과,409.202,1,핵공학개론 2, ,화(09:30~10:45)/목(09:30~10:45),032-106/032-106,32
공과대학,원자핵공학과,409.209A,1,플라즈마전자역학 1, ,월(11:00~12:15)/수(11:00~12:15),032-106/032-106,31
공과대학,원자핵공학과,409.310A,1,수치해석기초, ,월(09:30~10:45)/수(09:30~10:45),032-106/032-106,30
공과대학,원자핵공학과,409.319A,1,시스템공학수력학, ,월(09:30~10:45)/수(09:30~10:45),032-108/032-108,31
공과대학,컴퓨터공학부,4190.101,1,이산수학, ,월(11:00~12:15)/수(11:00~12:15),301-203/301-203,44
공과대학,컴퓨터공학부,4190.101,2,이산수학, ,월(14:00~15:15)/수(14:00~15:15),302-105/302-105,78
공과대학,컴퓨터공학부,4190.103A,1,프로그래밍연습, ,월(14:00~15:50)/수(14:00~15:50),301-203/301-203,56
공과대학,컴퓨터공학부,4190.103A,2,프로그래밍연습, ,화(16:00~17:50)/목(16:00~17:50),302-208/302-311-1,91
공과대학,컴퓨터공학부,4190.206A,1,전기전자회로, ,화(15:30~16:45)/목(15:30~16:45),301-118/301-118,108
공과대학,컴퓨터공학부,4190.209,1,컴퓨터공학세미나, ,수(13:00~13:50),302-105,118
공과대학,컴퓨터공학부,4190.210,1,프로그래밍의 원리, ,월(09:00~10:50)/수(09:00~10:50),302-208/302-208,51
공과대학,컴퓨터공학부,4190.303C,1,임베디드시스템과 응용, ,월(11:00~12:15)/수(11:00~12:15),302-106/302-106,27
공과대학,컴퓨터공학부,4190.306,1,오토마타이론, ,화(15:30~16:45)/목(15:30~16:45),301-203/301-203,33
공과대학,컴퓨터공학부,4190.308,1,컴퓨터구조, ,화(09:30~10:45)/목(09:30~10:45),301-203/301-203,48
공과대학,컴퓨터공학부,4190.308,2,컴퓨터구조, ,화(09:30~10:45)/목(09:30~10:45),302-208/302-208,58
공과대학,컴퓨터공학부,4190.310,1,프로그래밍언어, ,화(11:00~12:15)/목(11:00~12:15),302-208/302-208,99
공과대학,컴퓨터공학부,4190.407,1,알고리즘, ,월(14:00~15:15)/수(14:00~15:15),302-208/302-208,77
공과대학,컴퓨터공학부,4190.414A,1,멀티코어 컴퓨팅, ,화(14:00~15:15)/목(14:00~15:15),301-203/301-203,28
공과대학,전기·정보공학부,430.201A,2,논리설계 및 실험, ,화(11:00~12:15)/화(18:30~20:20)/목(11:00~12:15),302-105/301-310/302-105,121
공과대학,전기·정보공학부,430.202B,1,기초전자기학 및 연습, ,화(14:00~15:15)/목(14:00~15:15)/목(18:30~20:20),301-102/301-102/301-207,72
공과대학,전기·정보공학부,430.202B,2,기초전자기학 및 연습, ,월(14:00~15:15)/수(14:00~15:15)/수(18:30~20:20),301-201/301-201/301-207,54
공과대학,전기·정보공학부,430.202B,3,기초전자기학 및 연습, ,월(14:00~15:15)/수(14:00~15:15)/금(10:00~11:50),301-105/301-105/301-207,79
공과대학,전기·정보공학부,430.211,1,프로그래밍방법론, ,월(15:30~17:20)/수(15:30~17:20)/금(15:30~17:20),302-408/301-207/301-207,57
공과대학,전기·정보공학부,430.216,1,전기시스템선형대수, ,월(11:00~12:15)/수(11:00~12:15),301-103/301-103,55
공과대학,전기·정보공학부,430.217,1,자료구조의 기초, ,화(15:30~16:45)/목(15:30~16:45),301-302/301-302,80
공과대학,전기·정보공학부,430.301C,1,아날로그전자회로, ,화(11:00~12:15)/목(11:00~12:15),301-201/301-201,62
공과대학,전기·정보공학부,430.301C,2,아날로그전자회로, ,월(11:00~12:15)/수(11:00~12:15),301-201/301-201,30
공과대학,전기·정보공학부,430.307,1,심화전기전자세미나, ,화(17:00~17:50),301-118,196
공과대학,전기·정보공학부,430.309A,1,전기에너지변환, ,월(17:00~18:15)/수(17:00~18:15),301-302/301-302,33
공과대학,전기·정보공학부,430.310,1,제어공학개론, ,화(14:00~15:15)/목(14:00~15:15),301-201/301-201,61
공과대학,전기·정보공학부,430.312,2,반도체소자, ,화(14:00~15:15)/목(14:00~15:15),301-302/301-302,79
공과대학,전기·정보공학부,430.315A,1,디지털 시스템 설계 및 실험, ,화(15:30~16:45)/목(15:30~16:45)/금(13:00~14:50),302-105/302-105/301-207,96
공과대학,전기·정보공학부,430.317,1,통신의 기초, ,월(11:00~12:15)/수(11:00~12:15),301-101/301-101,34
공과대학,전기·정보공학부,430.329,1,알고리즘의 기초, ,화(17:00~18:15)/목(17:00~18:15),301-302/301-302,73
공과대학,전기·정보공학부,430.402A,1,전기전자세미나, ,목(17:00~17:50),301-118,59
공과대학,전기·정보공학부,430.414,1,컴파일러의 기초, ,화(14:00~15:15)/목(14:00~15:15),301-104/301-104,34
공과대학,전기·정보공학부,430.457,1,지능시스템개론, ,월(11:00~12:15)/수(11:00~12:15),302-519/302-519,27
공과대학,재료공학부,445.102A,1,재료공학원리, ,화(12:30~13:45)/목(12:30~13:45),033-328/033-328,47
공과대학,재료공학부,445.102A,2,재료공학원리, ,화(12:30~13:45)/목(12:30~13:45),033-331/033-331,57
공과대학,재료공학부,445.102A,3,재료공학원리, ,화(12:30~13:45)/목(12:30~13:45),033-228/033-228,42
공과대학,재료공학부,445.202,1,재료현대물리, ,월(14:00~15:15)/수(14:00~15:15),033-228/033-228,72
공과대학,재료공학부,445.206,1,결정학개론, ,월(15:30~16:45)/수(15:30~16:45),033-228/033-228,48
공과대학,재료공학부,445.206,2,결정학개론, ,화(15:30~16:45)/목(15:30~16:45),033-228/033-228,50
공과대학,재료공학부,445.215,1,재료물리화학2, ,화(11:00~12:15)/목(11:00~12:15),033-331/033-331,52
공과대학,재료공학부,445.215,2,재료물리화학2, ,월(11:00~12:15)/수(11:00~12:15),033-226/033-226,29
공과대학,재료공학부,445.302,3,재료상변태, ,월(09:30~10:45)/수(09:30~10:45),033-228/033-228,45
공과대학,재료공학부,445.312,2,재료의 전자기적 성질, ,화(14:00~15:15)/목(14:00~15:15),033-330/033-330,44
공과대학,재료공학부,445.313A,1,재료세미나, ,금(12:00~12:50),033-331,54
공과대학,재료공학부,445.314,1,응용전기화학, ,월(11:00~12:15)/수(11:00~12:15),033-331/033-331,38
공과대학,재료공학부,445.325,1,전기회로, ,월(12:30~13:45)/수(12:30~13:45),033-226/033-226,32
공과대학,재료공학부,445.330A,1,재료공정통계분석 및 설계, ,월(11:00~12:15)/수(11:00~12:15),033-225/033-225,33
공과대학,건설환경공학부,457.204,1,기초유체역학 및 실험, ,화(14:00~15:50)/목(14:00~15:50),035-316/035-316,45
공과대학,건설환경공학부,457.208,1,교통공학 및 실험, ,월(14:00~15:50)/수(14:00~15:50),035-316/035-316,57
공과대학,건설환경공학부,457.210A,1,환경공학, ,월(09:30~10:45)/수(09:30~10:45),035-316/035-316,34
공과대학,건설환경공학부,457.210A,2,환경공학, ,월(09:30~10:45)/수(09:30~10:45),035-317/035-317,37
공과대학,건설환경공학부,457.212,2,건설환경통계학, ,화(11:00~12:15)/목(11:00~12:15),035-223/035-223,55
공과대학,건설환경공학부,457.316A,1,지속가능교통체계, ,화(12:30~13:45)/목(12:30~13:45),035-316/035-316,34
공과대학,건설환경공학부,457.408,1,건설시스템종합설계, ,화(18:00~21:50)/목(18:00~18:50),035-223/035-223,39
공과대학,화학생물공학부,458.202,1,물리화학 2, ,월(12:30~13:45)/수(12:30~13:45),302-508/302-508,48
공과대학,화학생물공학부,458.202,2,물리화학 2, ,월(12:30~13:45)/수(12:30~13:45),302-509/302-509,66
공과대학,화학생물공학부,458.301,1,유기화학 2, ,월(14:00~15:15)/수(14:00~15:15),302-509/302-509,75
공과대학,화학생물공학부,458.301,2,유기화학 2, ,월(14:00~15:15)/수(14:00~15:15),302-508/302-508,44
공과대학,화학생물공학부,458.302,1,응용생화학, ,화(11:00~12:15)/목(11:00~12:15),302-508/302-508,65
공과대학,화학생물공학부,458.302,2,응용생화학, ,화(11:00~12:15)/목(11:00~12:15),302-509/302-509,54
공과대학,화학생물공학부,458.304,1,열 및 물질전달, ,화(14:00~15:15)/목(14:00~15:15),302-508/302-508,65
공과대학,화학생물공학부,458.304,2,열 및 물질전달, ,화(14:00~15:15)/목(14:00~15:15),302-509/302-509,29
공과대학,화학생물공학부,458.308,1,공정제어 및 설계, ,월(11:00~12:15)/수(11:00~12:15),302-508/302-508,58
공과대학,화학생물공학부,458.310,1,화공열역학, ,월(14:00~15:15)/수(14:00~15:15),302-620/302-620,34
공과대학,화학생물공학부,458.409,1,전기화학, ,월(15:30~16:45)/수(15:30~16:45),302-509/302-509,43
공과대학,화학생물공학부,458.423,1,화학산업경영, ,월(17:00~18:50),302-105,79
농업생명과학대학, ,500.169,1,식품·동물생명공학개론, ,목(16:00~17:50),200-1043,44
농업생명과학대학, ,500.170,1,산림과학개론, ,월(16:00~17:50),200-1043,56
농업생명과학대학, ,500.171,1,식물생산과학개론, ,화(16:00~17:50),200-1043,80
농업생명과학대학, ,500.172,1,응용생물화학개론, ,목(16:00~17:50),200-1039,39
농업생명과학대학, ,500.173,1,조경·지역시스템공학개론, ,목(14:00~15:50),200-1043,38
농업생명과학대학, ,500.301A,1,통계학개론 및 실습, ,화(10:00~11:50)/목(10:00~11:50),201-101/200-1007,54
농업생명과학대학, ,500.405,1,컴퓨터프로그래밍개론, ,월(09:00~10:50)/월(11:00~12:50),200-1007/200-1007,31
농업생명과학대학,식물생산과학부,5172.305,1,시설원예학 및 실험, ,수(09:00~10:50)/수(11:00~12:50),200-1006/200-1006,29
농업생명과학대학,응용생물화학부,519.003,1,생화학, ,목(09:00~11:50),075-1-204,62
농업생명과학대학,응용생물화학부,519.301,1,물리화학 1, ,월(09:30~10:45)/수(09:30~10:45),200-7113/200-7113,31
농업생명과학대학,응용생물화학부,5192.250,1,일반미생물학, ,월(13:00~15:50),200-1022,40
